WELL,CURVE,N,Mean,P50,Std,Min,P25,P75,Max,IQR,CV
16_10-1,CALI,11264.0,11.596733085423658,12.406200409,2.2964007785614298,7.8392696381,8.8515996933,12.71295571325,23.703100204,3.8613560199499997,0.1980213532247161
16_10-1,DEPT,11264.0,2269.463066078409,2269.4197898,494.3354231551215,1413.4317898,1841.4257898,2697.4137898,3125.8637898,855.9879999999998,0.2178204309838468
16_10-1,DEPTH_MD,11264.0,2269.4630657230646,2269.4197998,494.33542278164566,1413.4317627,1841.425750725,2697.4137573,3125.8637695,855.9880065749999,0.21782043085338665
16_10-1,DTC,11264.0,108.1752388030393,113.012218475,32.581823979411325,51.280059814,74.6872501375,141.4109268175,177.2286377,66.72367668000001,0.30119484218319936
16_10-1,FORCE_2020_LITHOFACIES_CONFIDENCE,11264.0,1.4453125,1.0,0.5353782722004258,1.0,1.0,2.0,3.0,1.0,0.3704238856305649
16_10-1,FORCE_2020_LITHOFACIES_LITHOLOGY,11264.0,65128.378728693184,65000.0,10220.909464881108,30000.0,65000.0,70000.0,99000.0,5000.0,0.15693480575431779
16_10-1,GR,11264.0,62.9949697543113,66.217998505,36.79930168328711,5.7826800346,28.84706115725,84.40117263775,291.5536499,55.5541114805,0.5841625422920155
16_10-1,NPHI,11264.0,0.30781643367112926,0.33837558325,0.14088693545285816,-0.0053,0.17242551225000002,0.4366092011,0.6133149266,0.26418368885,0.4576979005720715
16_10-1,RDEP,11264.0,2.5802572256867897,0.8550772667,35.806139624584034,0.1268168986,0.653925403925,2.122968733325,1856.9350586,1.4690433294,13.876965159957445
16_10-1,RHOB,11264.0,2.2974094413112485,2.2898290157,0.21938873573996198,1.4121896029,2.1079607606,2.499713420875,2.9524800777,0.3917526602749999,0.0954939645476279
16_10-1,RMED,11264.0,2.4230208773153943,0.9557868838,18.43479150585433,0.1814138591,0.7311680019,2.571015358,1796.2091064,1.8398473561,7.608185170191067
16_10-1,X_LOC,11264.0,444162.91088312323,444160.28125,10.367524635153734,444151.8125,444153.03125,444170.0,444186.9375,16.96875,2.3341716251228906e-05
16_10-1,Y_LOC,11264.0,6435563.633833452,6435557.5,12.904437402212984,6435551.0,6435554.5,6435569.5,6435598.0,15.0,2.005175946729974e-06
16_10-1,Z_LOC,11264.0,-2244.074182270597,-2244.2650145,493.94999026453405,-3099.112061,-2671.930786,-1816.3437195000001,-1388.378296,855.5870664999998,-0.22011304000866233
