WELL,CURVE,N,Mean,P50,Std,Min,P25,P75,Max,IQR,CV
16_10-3,CALI,4605.0,8.938155626136917,8.8755950928,0.8836096948219576,8.219578743,8.5559244156,8.9440097809,17.008371353,0.38808536530000026,0.09885816848367575
16_10-3,DEPT,4605.0,2489.185577584473,2488.6935993,202.54132922103415,2138.7895993,2313.7415993,2664.7095993,2839.6615993,350.96799999999985,0.08136851307710934
16_10-3,DEPTH_MD,4605.0,2489.1855778906406,2488.6936035,202.54132923265647,2138.7895508,2313.7416992,2664.7097168,2839.6616211,350.96801760000017,0.0813685130717702
16_10-3,DTC,4605.0,87.98438390845256,85.936424255,11.071126591432263,67.662979126,81.822738647,90.19418335,132.47460938,8.371444703000009,0.12583058606117797
16_10-3,FORCE_2020_LITHOFACIES_CONFIDENCE,4605.0,1.2386536373507058,1.0,0.4343823452214035,1.0,1.0,1.0,3.0,0.0,0.35068911285844373
16_10-3,FORCE_2020_LITHOFACIES_LITHOLOGY,4605.0,63439.11617806732,65000.0,12048.148626688067,30000.0,65000.0,70000.0,90000.0,5000.0,0.1899167162554741
16_10-3,GR,4605.0,94.07999703058633,104.1229248,40.473370485991566,35.097110748,50.625228882,122.34738922,298.52203369,71.722160338,0.43020165564879087
16_10-3,NPHI,4605.0,0.2470200339171553,0.2427556813,0.07235698703786342,0.0913072899,0.2126330435,0.2725412846,0.8173101544,0.05990824109999998,0.29291950895825014
16_10-3,RDEP,4605.0,1.8578230155215851,1.8395029306,0.7378287412403185,0.2592559457,1.2982904911,2.2505218983,5.5029764175,0.9522314072000002,0.3971469483777348
16_10-3,RHOB,4605.0,2.451173395132877,2.4797003269,0.08534345862924902,1.9569615126,2.3924033642,2.5173158646,2.7498574257,0.12491250039999979,0.03481738941794552
16_10-3,RMED,4605.0,1.384961555718719,1.4018124342,0.5817832771672758,0.3865517974,0.9654702544,1.6727880239,4.0020260811,0.7073177694999999,0.420071788104878
16_10-3,X_LOC,4605.0,460446.6772801303,460445.6875,6.399285065981796,460437.4375,460441.03125,460451.75,460460.03125,10.71875,1.389799379980876e-05
16_10-3,Y_LOC,4605.0,6453744.101411509,6453744.0,0.9939697442884362,6453743.0,6453743.5,6453745.0,6453746.0,1.5,1.5401443389598349e-07
16_10-3,Z_LOC,4605.0,-2448.7615408896854,-2448.30249,202.43306693045363,-2798.958984,-2624.210449,-2273.414063,-2098.499023,350.796386,-0.08266752950428384
