WELL,CURVE,N,Mean,P50,Std,Min,P25,P75,Max,IQR,CV
15_9-13,CALI,13946.0,13.208620001793598,12.8308210375,3.4961529730901417,8.1866054535,10.14658832525,14.648701906,23.329568863,4.502113580749999,0.2646872249042973
15_9-13,DEPT,13946.0,2199.034615803815,2199.132,612.450666209618,1138.704,1668.614,2729.042,3259.712,1060.4279999999999,0.2785088792182329
15_9-13,DEPTH_MD,13946.0,2199.0346157929444,2199.131958,612.450666207014,1138.7039795,1668.614044175,2729.0420532,3259.7119141,1060.428009025,0.2785088792184256
15_9-13,DTC,13946.0,117.23300154704654,127.33808898999999,30.52296440263071,55.726753235,88.26641273525,145.8110008225,163.91079712,57.544588087250006,0.2603615364260856
15_9-13,FORCE_2020_LITHOFACIES_CONFIDENCE,13946.0,1.0447440126201062,1.0,0.29579092653634614,1.0,1.0,1.0,3.0,0.0,0.28312287312806333
15_9-13,FORCE_2020_LITHOFACIES_LITHOLOGY,13946.0,62230.47827334003,65000.0,12719.127339013445,30000.0,65000.0,65000.0,99000.0,0.0,0.20438742706019677
15_9-13,GR,13946.0,65.41432356103736,67.4127426145,29.515051946801538,6.191505909,45.51713085175,85.32426071175,279.91766357,39.80712986,0.45120166868746076
15_9-13,NPHI,13946.0,0.4057684311070558,0.4493534863,0.1328515646687719,0.0379757099,0.31658211355,0.5067404956,0.8002619743,0.19015838205000002,0.32740734488958073
15_9-13,RDEP,13946.0,1.8995817771485517,1.2069243789,2.262762235683716,0.35220173,0.7450009584249999,2.2086532711999998,49.221904755,1.4636523127749999,1.1911896939126947
15_9-13,RHOB,13946.0,2.1857350261946795,2.0923998356,0.2563004073462466,1.4934167862,1.9965733885499999,2.458520233625,2.8894536495,0.46194684507499995,0.11726051157832265
15_9-13,RMED,13946.0,1.9165094544862542,1.1415824294,2.1035897168109625,0.3749891222,0.7808212042,2.265991210975,34.411457062,1.4851700067749998,1.0976151001430137
15_9-13,X_LOC,13946.0,437623.0584038434,437622.28125,13.400780466329996,437594.125,437613.21875,437636.71875,437640.84375,23.5,3.062174217969019e-05
15_9-13,Y_LOC,13946.0,6470980.5319087915,6470981.0,2.329011697815391,6470976.0,6470978.5,6470982.5,6470984.0,4.0,3.5991635059492074e-07
15_9-13,Z_LOC,13946.0,-2173.731935044027,-2173.8026125,612.2597486813477,-3233.868652,-2703.6189572499998,-1643.5159910000002,-1113.655396,1060.1029662499996,-0.28166294969988875
