CURVE,count,mean,std,min,25%,50%,75%,max
CALI,20196.0,14.130318514826048,3.2590220227575744,8.1799583435,12.186205387249998,13.9076485635,17.41777801475,26.125
DEPT,20196.0,2017.3327527235913,887.2716427827554,480.93200085,1249.7100009,2017.1200009,2784.9860009,3555.7400009
DEPTH_MD,20196.0,2017.3327523231112,887.2716423380192,480.93200684,1249.710022,2017.1199950999999,2784.986022925,3555.7399902
DTC,20196.0,121.51575469235864,32.70647244878772,53.731601715,90.76016807549999,132.79044342,146.64162063499998,183.48077393
FORCE_2020_LITHOFACIES_CONFIDENCE,20196.0,1.0616458704693998,0.2921987144024932,1.0,1.0,1.0,1.0,3.0
FORCE_2020_LITHOFACIES_LITHOLOGY,20196.0,58915.33174886116,15961.572078200508,30000.0,65000.0,65000.0,65030.0,99000.0
GR,20196.0,53.41311097085751,26.957388539247855,6.342400074,33.27932453125,54.73056221,69.61613655125,446.89071655
NPHI,20196.0,0.38414165220918495,0.1318650825502446,0.0471199565,0.281675122675,0.4305067062,0.484779402575,0.7062469125
RDEP,20196.0,1.6137479426190533,6.531418446657179,0.246183157,0.7130541205500001,0.9981415868,1.641396313925,793.20849609
RHOB,20196.0,2.154391284973619,0.21825877360367318,1.372335434,2.019041180625,2.08909618855,2.27983260155,2.9038183689
RMED,20196.0,2.2210152378995938,22.690674482786502,0.3053889573,0.718162596225,1.0312718749,1.5003486872,1718.5344238
X_LOC,20196.0,423247.02405179245,10.191610395878273,423237.53125,423240.65625,423244.59375,423246.15625,423281.9375
Y_LOC,20196.0,6461858.311472569,9.00866940106076,6461833.5,6461855.0,6461861.5,6461864.5,6461867.0
Z_LOC,20196.0,-1992.0730433579372,886.9754219343946,-3529.157227,-2759.70697,-1992.012146,-1224.675598,-455.9284363
