CURVE,count,mean,std,min,25%,50%,75%,max
CALI,10834.0,12.07224441468107,1.255783068769226,8.2635173798,12.27586936975,12.4156246185,12.6373648645,14.085252762
DEPT,10834.0,2359.216590732878,481.8061616479333,1526.488,1938.598,2362.26,2773.914,3194.08
DEPTH_MD,10834.0,2359.216590729195,481.80616162013035,1526.4880371,1938.598052975,2362.26000975,2773.913940425,3194.0800781
DTC,10834.0,118.82480772462293,29.415588435273094,58.998001099,97.04088401775,132.958824155,138.963912965,178.81799316
FORCE_2020_LITHOFACIES_CONFIDENCE,10834.0,1.0964556027321395,0.3212818033312042,1.0,1.0,1.0,1.0,3.0
FORCE_2020_LITHOFACIES_LITHOLOGY,10834.0,65624.50415359055,9823.64977129058,30000.0,65000.0,65000.0,68757.5,99000.0
GR,10834.0,85.23920845407974,46.88685504199706,11.680315018,52.5906276705,90.2769088745,110.3897399925,411.18112183
NPHI,10834.0,0.30356411252314014,0.1289100571866361,0.0478795692,0.192954260825,0.34050048885,0.4130954668,0.7091270685
RDEP,10834.0,1.4230575602127378,1.4472757960287321,0.1809573323,0.604487896,0.7339176536,1.5743606091,17.415550232
RHOB,10834.0,2.3427082177716727,0.166155708348961,1.2575906515,2.215696156,2.32164263725,2.4951933622249998,3.104143858
RMED,10834.0,1.4616682942514951,1.522947680736572,0.167986691,0.6208000183,0.7516362071,1.60403957965,23.936893463
X_LOC,10834.0,433918.8802150637,6.57115797752718,433906.84375,433914.6875,433918.625,433923.3046875,433932.71875
Y_LOC,10834.0,6459992.135037844,6.9449506865247965,6459977.5,6459986.5,6459993.5,6459999.0,6460000.5
Z_LOC,10834.0,-2334.0166865151373,481.69819285286735,-3168.600586,-2748.647095,-2337.0812990000004,-1913.4740295,-1501.449219
