CURVE,count,mean,std,min,25%,50%,75%,max
CALI,13110.0,12.297351422533005,2.6584919749341416,5.9461569786,11.991999626,12.883000374,14.046999931,22.314649582
DEPT,13110.0,2106.3606998492755,577.9364677265827,1012.6379984,1607.7559984,2105.8979984,2604.0399984,3110.5419984
DEPTH_MD,13110.0,2106.3606995016708,577.9364677280993,1012.6380005,1607.756011975,2105.8979492500002,2604.039917025,3110.5419922
DTC,13110.0,120.23799017435576,27.85894638421128,40.766048431,90.08387184124999,133.22396088,145.3651733375,165.11302185
FORCE_2020_LITHOFACIES_CONFIDENCE,13110.0,1.1421815408085432,0.4904281452486813,1.0,1.0,1.0,1.0,3.0
FORCE_2020_LITHOFACIES_LITHOLOGY,13110.0,63720.49580472922,11681.238339584535,30000.0,65000.0,65000.0,65000.0,99000.0
GR,13110.0,56.760249501711584,24.194055282872238,5.9519319534,41.64589977225,57.837594986,70.39786338825,119.46041107
NPHI,13110.0,0.38560212450978637,0.13681345372986783,0.0186000001,0.266089707575,0.45213253794999997,0.4976930171,0.6128905416
RDEP,13110.0,1.8462160078164762,2.141261183555708,0.2567999959,0.75955477355,1.1400823593,1.8284915983499999,27.965343475
RHOB,13110.0,2.1546298338203282,0.2368606996316138,1.4921123981,1.978430539325,2.0840001106,2.35678571465,2.9066109657
RMED,13110.0,1.86587509815492,2.1850042083307084,0.3531084359,0.79800009725,1.11955064535,2.0655574798750003,61.652744293
X_LOC,13110.0,438596.0783848207,1.4203708894644058,438592.28125,438594.875,438596.84375,438597.21875,438597.46875
Y_LOC,13110.0,6478960.122616324,6.528878934891687,6478952.0,6478953.0,6478960.0,6478967.5,6478968.5
Z_LOC,13110.0,-2084.240085754859,577.8687866814798,-3088.307373,-2581.84460425,-2083.7778319999998,-1585.70901525,-990.611145
