CURVE,count,mean,std,min,25%,50%,75%,max
CALI,13335.0,12.830761323479349,3.6645676341914903,7.325138092,9.28583955765,13.012004852,14.919133663,25.717395782
DEPT,13335.0,2170.7222767154103,593.1225042379917,1149.648,1656.34,2163.032,2688.42,3198.76
DEPTH_MD,13335.0,2170.7222767118938,593.1225042356278,1149.6479492,1656.34002685,2163.0319824,2688.42004395,3198.7600098
DTC,13335.0,117.46091290792396,36.067207261620496,7.4151320457,83.157562256,122.53477478,149.898612975,205.20866394
FORCE_2020_LITHOFACIES_CONFIDENCE,13335.0,1.1082114735658042,0.4161191602360616,1.0,1.0,1.0,1.0,3.0
FORCE_2020_LITHOFACIES_LITHOLOGY,13335.0,62779.077465316834,12104.698983975137,30000.0,65000.0,65000.0,65030.0,99000.0
GR,13335.0,58.532422290509516,32.15798600605113,6.0244188309,42.3801326755,60.070098877,75.8129234315,804.2989502
NPHI,13335.0,0.38497513200701916,0.15221042905832044,0.0390129723,0.2495068461,0.4518630207,0.5108779073,0.7331521511
RDEP,13335.0,1.5171489845022723,1.5353695870203221,0.2644793689,0.7090188265,0.9117252231,1.47435837985,14.04620266
RHOB,13335.0,2.1763532536550207,0.23641295523464423,1.4389990568,1.98628741505,2.1066296101,2.38380765915,2.6488473415
RMED,13335.0,1.6649393277776903,1.8027197850039343,0.3825266957,0.79346764085,1.0457156897,1.4989411234499999,20.911962509
X_LOC,13335.0,436806.75918869517,6.2315380805618545,436790.84375,436804.03125,436807.34375,436812.21875,436813.3125
Y_LOC,13335.0,6463005.52632171,10.322970933531932,6462990.5,6462994.5,6463007.0,6463015.0,6463021.0
Z_LOC,13335.0,-2145.482997261792,592.9586866321488,-3173.181152,-2663.072876,-2137.771729,-1631.2717895,-1124.615479
