CURVE,count,mean,std,min,25%,50%,75%,max
CALI,3466.0,8.934520661725939,0.564658354360631,8.0961666107,8.542352437949999,8.8076057434,9.12417268755,12.437829971
DEPT,3466.0,1461.6637349999999,152.1052362368458,1198.323735,1329.993735,1461.663735,1593.333735,1725.003735
DEPTH_MD,3466.0,1461.6637353477784,152.10523620410027,1198.3237305,1329.9937134,1461.66375735,1593.333709725,1725.0037842
DTC,3466.0,138.80654022127612,7.509339544233047,94.967178345,135.92250061000001,139.98194122,143.6657791125,152.76864624
FORCE_2020_LITHOFACIES_CONFIDENCE,3466.0,1.0802077322562031,0.2716537194124945,1.0,1.0,1.0,1.0,2.0
FORCE_2020_LITHOFACIES_LITHOLOGY,3466.0,62418.17080207732,9439.504857188465,30000.0,65000.0,65000.0,65000.0,70000.0
GR,3466.0,58.883613540191284,12.20881870718188,16.906744003,54.85482692725,60.3545246125,66.40485763575,84.440193176
NPHI,3466.0,0.4581184996152626,0.05137419239722406,0.2286048234,0.428946986825,0.46665237845,0.492373503775,0.5784686208
RDEP,3466.0,0.8096811403198211,0.24878268075746066,0.2812780738,0.628562688825,0.74978110195,1.01938837765,2.0073831081
RHOB,3466.0,2.1216861859126372,0.10650093486798737,1.7782105207,2.091908991325,2.1291555166,2.16665244105,3.0053207874
RMED,3466.0,0.8082409511140219,0.23938176156837887,0.2800756693,0.631533503525,0.7579266429,1.0078343749,1.9350463152
X_LOC,3466.0,459499.1080586411,0.9912621539217586,459497.78125,459498.40625,459498.90625,459499.46875,459501.09375
Y_LOC,3466.0,6539494.455279862,64.28275734057256,6539422.5,6539434.0,6539478.25,6539547.0,6539630.0
Z_LOC,3466.0,-1414.4740098765146,135.90584849322858,-1636.055176,-1533.88562,-1421.5981445,-1298.137848,-1167.296631
