WELL,CURVE,N,Mean,P50,Std,Min,P25,P75,Max,IQR,CV
16_1-2,CALI,1639.0,10.375654724183464,8.3220453262,3.53011349042721,7.7897219658,8.11408281325,12.460340500000001,21.928060532,4.3462576867500005,0.34023043212870796
16_1-2,DEPT,1639.0,2784.5080015000003,2784.5080015,71.93899489613868,2660.0200015,2722.2640015,2846.7520015,2908.9960015,124.48799999999983,0.025835441973011214
16_1-2,DEPTH_MD,1639.0,2784.5080019746797,2784.5080566,71.9389947665671,2660.0200195,2722.2640381,2846.75195315,2908.9960938,124.48791505000008,0.025835441922073984
16_1-2,DTC,1639.0,71.32084311299512,66.439819336,13.974382022237943,40.325546265,63.465200424,75.2191352845,140.5532074,11.753934860499996,0.195936859581119
16_1-2,FORCE_2020_LITHOFACIES_CONFIDENCE,1639.0,1.9749847467968273,2.0,0.15621901327648338,1.0,2.0,2.0,2.0,0.0,0.07909884546189566
16_1-2,FORCE_2020_LITHOFACIES_LITHOLOGY,1639.0,52499.694935936546,65000.0,19530.536339889106,30000.0,30000.0,70000.0,80000.0,40000.0,0.37201237766660367
16_1-2,GR,1639.0,106.82442447611288,88.769889832,78.00876285091883,17.048049927,53.643819809,145.79888153000002,645.0045166,92.15506172100001,0.7302521238329952
16_1-2,NPHI,1639.0,0.22237404725539964,0.1855390668,0.1300471094041271,0.0174645912,0.1177244447,0.293921411,0.6601894498,0.17619696630000004,0.5848124410613718
16_1-2,RDEP,1639.0,3.2069912560121416,2.8604521751,2.711478168046548,0.2507680357,1.6868705152999999,3.36034965515,30.694458008,1.67347913985,0.8454897290297702
16_1-2,RHOB,1639.0,2.407466288379622,2.449221611,0.23427049336679184,1.5711927414,2.3902454376,2.5370930433499996,3.1156110764,0.14684760574999967,0.09730997875134144
16_1-2,RMED,1639.0,6.416902223399511,5.9340043068,6.421222534622224,0.3806297779,2.19221735,7.7636423111,56.469779968,5.5714249611,1.000673270539632
16_1-2,X_LOC,1639.0,455221.34375,455221.34375,0.0,455221.34375,455221.34375,455221.34375,455221.34375,0.0,0.0
16_1-2,Y_LOC,1639.0,6533321.5,6533321.5,0.0,6533321.5,6533321.5,6533321.5,6533321.5,0.0,0.0
16_1-2,Z_LOC,1639.0,-2759.508001980476,-2759.508057,71.93899476523009,-2883.996094,-2821.751953,-2697.2640380000003,-2635.02002,124.4879149999997,-0.026069500328899237
